  190        2.423820        8.009530        1.853620        4.132970
  191        2.422510        8.009610        1.852680        4.134990
  192        2.421760        8.009500        1.852000        4.136740
  193        2.421200        8.009410        1.851200        4.138360
  194        2.420740        8.009550        1.850000        4.139900
  195        2.420360        8.010040        1.848590        4.141540
  196        2.419820        8.010820        1.846750        4.143270
  197        2.419130        8.011950        1.844590        4.144850
  198        2.418250        8.013180        1.842420        4.146190
  199        2.417970        8.014160        1.840390        4.147760
  200        2.418390        8.015020        1.838370        4.149770
  201        2.418740        8.015880        1.835830        4.151650
  202        2.418850        8.016880        1.833180        4.153430
  203        2.419330        8.017980        1.830660        4.155440
  204        2.420080        8.018940        1.828100        4.157790
  205        2.420620        8.019670        1.825900        4.160030
  206        2.420970        8.020480        1.823970        4.161930
  207        2.421210        8.021440        1.822370        4.163870
  208        2.421490        8.022310        1.820910        4.165920
  209        2.421830        8.023140        1.819710        4.167750
  210        2.422060        8.024070        1.818880        4.169240
  211        2.422180        8.024760        1.817870        4.170860
  212        2.422430        8.025400        1.816690        4.172740
  213        2.422610        8.025970        1.815700        4.174430
  214        2.422930        8.026500        1.814800        4.175990
  215        2.423510        8.027350        1.813720        4.177310
  216        2.424050        8.028360        1.813000        4.178220
  217        2.424300        8.029360        1.812790        4.178620
  218        2.424350        8.030450        1.812690        4.178600
  219        2.424270        8.031300        1.812720        4.178570
  220        2.423960        8.031730        1.812550        4.178630
  221        2.423500        8.032220        1.811960        4.178710
  222        2.423060        8.032990        1.810910        4.179180
  223        2.422500        8.034170        1.809610        4.180110
  224        2.421500        8.035360        1.808440        4.180870
  225        2.419850        8.036530        1.807260        4.181420
  226        2.417820        8.037760        1.805890        4.182120
  227        2.415830        8.038760        1.804280        4.182730
  228        2.413940        8.039630        1.802370        4.183330
  229        2.412150        8.040500        1.800540        4.184130
  230        2.410480        8.041370        1.798780        4.184890
  231        2.408980        8.042210        1.797250        4.185650
  232        2.407720        8.042560        1.796330        4.186380
  233        2.406490        8.042660        1.796120        4.187030
  234        2.405190        8.043220        1.796280        4.187630
  235        2.403860        8.044110        1.796070        4.188100
  236        2.402550        8.045150        1.795710        4.188520
  237        2.401590        8.046570        1.795580        4.188920
  238        2.400670        8.048020        1.795290        4.189460
  239        2.399930        8.049180        1.794710        4.190320
  240        2.399530        8.050510        1.794360        4.191250
  241        2.399290        8.051770        1.794530        4.191690
